Price,Close,Close.1,Close.2,High,High.1,High.2,Low,Low.1,Low.2,Open,Open.1,Open.2,Volume,Volume.1,Volume.2,Return,MA5,MA10,Volatility,Direction
2018-01-16,120.07056427001952,198.4296112060547,95.55982971191406,122.1545210547978,199.89877234759922,96.91349898336138,119.18925284236732,197.60724923696708,95.2630459558696,121.38337005355396,198.7252988844147,96.76147863148971,861900.0,1442400,6254200,-0.005474730235171754,120.74256591796875,117.9765022277832,0.008238834637533584,0
2018-01-17,120.74071502685548,203.61329650878906,95.81318664550781,121.06202086225976,204.3247827486119,96.13169704025346,119.86857917620216,198.79923479656745,94.79975452184598,120.13480481171936,199.3074392535838,95.69012781946185,721000.0,1410600,5632700,0.005581307632809285,120.87659606933593,118.78162536621093,0.007431258318950978,1
2018-01-18,122.01681518554688,202.96646118164062,95.25576782226562,122.09943550173988,203.70566625148834,95.91450404817691,120.05220828742551,201.58045696286268,94.85039508188291,120.32762334959416,203.61326033057088,95.80592600899539,760600.0,1380300,5890000,0.010568929945524719,120.98309326171875,119.63999557495117,0.007007260120991806,1
2018-01-19,122.90731048583984,203.41921997070312,95.04585266113281,123.1551714234024,204.41714473168847,95.55256861893552,121.77811018195614,201.95930788800925,94.25682273787007,122.1545102832507,203.8904704434588,95.42950981815339,885300.0,1363900,6048900,0.00729813590806172,121.29338836669922,120.5433479309082,0.007410045058610251,1
2018-01-22,123.53154754638672,203.97361755371094,95.95796203613281,123.60499247932398,204.01982051341994,95.95796203613281,122.43907693225133,202.06092499523493,95.0313923580082,122.843017059312,203.7426168543296,95.04587311579878,607600.0,882200,5248800,0.005078925395725742,121.85339050292968,121.18230285644532,0.006033241933173036,1
2018-01-23,123.76104736328124,203.0865478515625,94.8431625366211,123.89876185409749,204.30623818689716,95.9579375998112,122.95316717669242,202.0978722910979,94.63323026165463,123.32956717346109,204.02903455621544,95.82764394962155,635900.0,821200,5747300,0.0018578235394350884,122.59148712158203,121.66702651977539,0.003190294711403455,1
2018-01-24,124.45879364013672,204.2046661376953,95.11099243164062,124.54141394728998,205.75698443394728,96.03756184160902,122.45745748166269,203.47470996011265,94.87935560193786,123.93550367845184,204.35251000376704,95.10375757763008,605900.0,718600,6868200,0.005637850452310467,123.33510284423828,122.10584945678711,0.003188197790204867,1
2018-01-25,125.91848754882812,205.01776123046875,94.57533264160156,126.16634849479392,206.0156860215944,95.45847100104594,124.17420151227816,203.28063132378728,94.35093062406058,125.20241679965444,204.97155826715309,95.37884340976552,793900.0,760500,4597200,0.01172833084749314,124.11543731689453,122.54926528930665,0.0036098270431995957,1
2018-01-26,125.78994750976562,209.0279083251953,94.96622467041016,126.35912829224644,209.0741112836535,95.37159743490909,124.85354202230508,204.62041115255582,94.37263523269428,126.2306031475511,205.11938054524285,94.61876387877956,953700.0,977000,6310500,-0.0010208194329895948,124.69196472167968,122.99267654418945,0.004775375097978847,0
2018-01-29,124.03646850585938,206.88421630859375,93.0044937133789,127.18534110287624,209.86875543226873,95.24853564794799,123.68760858826543,206.7733404869907,92.8886808168532,125.9551700362498,208.60286203925867,94.14823028911071,983600.0,936100,6350700,-0.013939738736039486,124.79294891357422,123.32316970825195,0.009546119674197735,0
2018-01-30,122.36566925048828,192.09095764160156,90.65188598632812,123.84371570635722,199.178058020204,92.66427466323056,121.53026265140896,191.3794714781526,90.6229299986532,123.50404504528314,195.50976546855583,92.37472583206126,1434200.0,4717400,8084000,-0.01347022593836722,124.51387329101563,123.55268020629883,0.011419932030307677,0
2018-01-31,123.37548828125,192.5160369873047,90.7387466430664,124.32106907522262,203.16054174411053,91.07897258807205,122.5584326240837,192.50678793353532,89.79770191468278,122.62270219658149,198.06929012326415,90.78941823980408,872400.0,2719900,9626800,0.008252470132734446,124.29721221923828,123.81615753173828,0.011918283642837547,1
2018-02-01,125.36762237548828,189.42982482910156,90.89801025390625,125.58795716292944,193.70796266340025,90.94144147720417,122.6135005693196,183.7287287671717,89.80494511098937,123.17350589690142,191.5642833192959,90.91972586555521,893000.0,2755300,7844500,0.016146919635259716,124.18703918457031,124.15123825073242,0.013251237905472522,1
2018-02-02,123.61418151855467,188.92164611816406,85.83805847167969,125.71650268292576,193.67102063568373,89.72530714552022,123.50402111105582,187.76664245048744,85.15760659713924,125.02797211967751,188.61672345799752,89.72530714552022,861600.0,2158300,13182600,-0.013986393166824818,123.75188598632812,124.2219253540039,0.014512317087041825,0
2018-02-05,119.83186340332033,181.48336791992188,81.52371978759766,125.37683762900583,188.92159223823086,85.63537617171787,119.39120774565887,178.50807819259828,78.19385298366856,122.25549053274445,187.9421375640796,84.68708551942433,1719300.0,2260100,15414700,-0.03059776854702234,122.91096496582031,123.85195693969726,0.018812124555633337,0
2018-02-06,107.35569763183594,182.57376098632812,84.82463073730469,115.37937257947304,184.80061174161483,85.15037595720696,99.14841031449232,177.02974263407967,80.1773020754451,115.2783875271584,178.35107433959945,80.49580691721012,7648400.0,3059200,18416300,-0.10411392610572301,119.90897064208984,122.21142196655273,0.04798527183563187,0
2018-02-07,105.17992401123048,180.5871124267578,83.45648193359375,106.57534281057497,183.25747999824907,86.33753353298192,101.9117013203826,179.6076716986845,83.41305071557764,101.9117013203826,181.41870932062577,84.98387569210972,4190800.0,1729000,11535700,-0.020266959915504645,116.26985778808594,120.28353500366211,0.04464400538078997,0
2018-02-08,102.04024505615234,174.88604736328125,81.29206848144531,105.46453361100107,183.0542302942335,83.89080597224874,101.96680010488204,174.7751574186342,81.22691613528933,105.03306028150423,180.41158121667053,83.3696092941583,3246300.0,1637100,9927500,-0.029850553559469195,111.60438232421875,117.89571075439453,0.03663273396643806,0
2018-02-09,98.33135223388672,179.04400634765625,82.16071319580078,99.70841345609136,180.26368257478444,82.97146407192797,88.87552903977665,172.91786396158219,79.2651814532175,95.79755762388342,177.42700162969263,82.04488927515897,7012900.0,2870300,10922400,-0.03634735314703175,106.54781646728516,115.14985122680665,0.03396709470413543,0
