Price,Close,High,Low,Open,Volume
Ticker,CMI,CMI,CMI,CMI,CMI
Date,,,,,
2018-01-02,144.95510864257812,145.90477801558944,144.33291792855357,145.32351120340888,1047400
2018-01-03,146.551513671875,146.70706445810987,144.7995436174997,145.18432319649153,932600
2018-01-04,148.7947235107422,148.87659630591133,146.73165149441914,147.05093540832337,1433800
2018-01-05,148.55726623535156,149.24495252978397,147.45204630413244,149.01572376497316,1123000
2018-01-08,149.09759521484375,149.31045943528324,147.57485402476678,148.28711219711408,1435000
2018-01-09,148.96664428710938,150.09641135600748,148.72103840533708,149.3923478240117,1610400
2018-01-10,147.82044982910156,149.14670376231783,147.41930573386156,148.88473338298056,910800
2018-01-11,150.5548858642578,151.05427996603413,147.89418224653903,148.37721178185646,1216900
2018-01-12,150.78408813476562,151.5372827883069,150.22739316444665,150.546677042608,1469200
2018-01-16,149.44961547851562,151.38169533526644,148.49994635576704,151.299822569087,1449200
2018-01-17,150.3829345703125,150.91507017000194,149.3268331601772,149.60519311998468,1049400
2018-01-18,150.40753173828125,151.6846674924007,150.06368845771337,150.12098942512353,873700
2018-01-19,154.79562377929688,155.19678046025243,152.8226069791387,153.22376366009425,1807400
2018-01-22,155.20494079589844,155.22131784987553,153.58396222906262,154.56637310314397,1237600
2018-01-23,154.26345825195312,155.8271359128543,153.92780983398492,155.5406061661969,1031300
2018-01-24,154.19796752929688,156.38383574069496,153.9605439734489,154.9102132127772,1352800
2018-01-25,155.0575714111328,155.53240603750828,152.80620744533636,155.53240603750828,1430300
2018-01-26,157.59552001953125,157.62007936095068,154.82020201081676,155.77805380228085,1120200
2018-01-29,156.21192932128906,158.97086986840335,155.60611566545515,157.22709442235603,1289500
2018-01-30,153.29739379882812,154.92656686022949,151.83196626514822,154.91018980905136,1427500
2018-01-31,153.9114227294922,156.5393839013141,153.35472783494365,154.64822773510798,1466800
2018-02-01,154.86924743652344,155.7534207854925,152.22492216090328,153.64123097829355,927600
2018-02-02,150.89053344726562,154.73013509463578,150.65312233435625,154.14886824408146,1574500
2018-02-05,146.551513671875,153.3874785408247,146.551513671875,150.01452988280155,2188500
2018-02-06,143.12942504882812,148.07423290382303,138.55301966366716,142.1224549667406,3500800
2018-02-07,141.41844177246094,147.09187429844482,141.27926801194275,144.0054547503799,2542200
2018-02-08,135.6794891357422,142.0406201165406,135.65492979733258,141.50848446162067,2393300
2018-02-09,134.30410766601562,138.2583232946515,130.46450644000547,138.2583232946515,2808700
2018-02-12,135.71224975585938,137.21043193085396,134.66434296002183,135.51576254712694,1912300
2018-02-13,135.59767150878906,135.9251377853214,134.34509488759815,135.45849771666093,1176400
2018-02-14,135.90052795410156,136.58003209291604,133.5263671011142,134.4514646100747,1933000
2018-02-15,135.0982208251953,137.52150023911767,133.72283555640135,137.16947476364865,1881200
2018-02-16,135.57308959960938,137.17769157642135,134.58248366610053,135.02456431504874,1421100
2018-02-20,136.5718231201172,137.39868311942053,135.30287015688603,136.178848820619,1540700
2018-02-21,136.12974548339844,138.52847796671296,136.09700386743577,137.13671569367492,1602900
