Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BAX,COF,BAX,COF,BAX,COF,BAX,COF,BAX,COF
Date,,,,,,,,,,
2018-01-02,58.886375427246094,87.302490234375,59.614018731714495,87.8195884093715,57.70286315777491,86.55751500064854,57.93956293626403,87.71441952590354,5571300,1663700
2018-01-03,59.83320236206055,87.15350341796875,60.20140507904516,87.4514908603354,58.947756762013796,86.54875554327978,59.28089828658363,87.20608786386165,4259900,2323700
2018-01-04,59.97346878051758,88.88885498046875,60.36797070248837,89.53742766982177,59.62279668959142,87.37261220667291,60.175100718053294,87.9598274615712,3698000,2149100
2018-01-05,60.64850616455078,88.89762115478516,60.79753962728222,89.13425784231514,59.87703292642889,88.29287329470968,60.14003197445253,89.0290889530707,2190000,2058500
2018-01-08,60.73618698120117,88.34546661376953,60.76248622341662,88.91514927589732,60.22771266998476,88.09129731391813,60.6485206109779,88.88885705293514,2634900,1763400
2018-01-09,60.823856353759766,89.12549591064453,61.060562922413546,89.3708988948129,60.56961918560212,88.20522803328336,60.780026510742296,88.56457289347975,3141700,2164200
2018-01-10,59.990997314453125,90.39633178710938,60.70110342501288,90.88713773442541,59.83319521338278,88.78367985351123,60.552069965255775,89.12549209349626,2074100,2620600
2018-01-11,60.01729965209961,91.51818084716797,60.20140099811206,91.55323937125796,59.614029081522744,90.18599036539672,60.00853101033314,90.70308855058228,2104500,2177700
2018-01-12,59.912086486816406,92.40341186523438,60.157561597634945,93.25356288531373,59.84195742938112,91.6409038325719,60.157561597634945,91.95642393665766,2372000,2298000
2018-01-16,59.32472229003906,91.51818084716797,60.05236569863812,93.3148917580844,59.21075670460732,90.92219931109747,60.05236569863812,92.90296245843908,4247000,2675500
2018-01-17,59.78935241699219,91.49191284179688,59.87702544389106,92.49982394428586,59.44744901532784,90.49276804433308,59.63155033249227,92.03531007892323,3151900,2287300
2018-01-18,60.66603469848633,90.63298797607422,60.90274119103294,91.71100928964968,59.89456148656759,90.38757828094381,59.89456148656759,91.52695703334973,4383100,2637800
2018-01-19,61.37615203857422,91.4831314086914,61.384913991900824,91.50943031941809,60.80631071218747,89.49360844778586,60.80631071218747,90.01070668432685,3530500,2928900
2018-01-22,61.542724609375,92.45598602294922,61.5865611361234,92.49981085514227,61.183290506394776,90.93097681420518,61.3936911200543,91.43931544603005,3381200,2407000
2018-01-23,61.01670455932617,92.64881134033203,61.49011083873505,92.83286361284603,60.8413718729584,91.03615903636309,61.45504296375885,92.20182342895173,2344100,2904100
2018-01-24,61.490108489990234,92.2544174194336,61.76187615003351,93.34120516598281,61.10436856849939,91.17638929084781,61.279707936682954,91.36920787374375,2491400,4170600
2018-01-25,62.28788757324219,91.37797546386719,62.296649525267625,92.81534186438039,61.66544117676012,90.87840307694164,61.805712671323114,92.51734768114984,2357300,2615700
2018-01-26,63.34867477416992,91.93889617919922,63.34867477416992,92.00901324242604,62.00736018505841,90.84334214152223,62.68239845625657,91.74607759869109,2885900,3036500
2018-01-29,63.16458511352539,91.6759262084961,63.55031847335411,92.70136279898364,63.006782974522444,91.44804918170041,63.006782974522444,91.62334177413119,2581900,2258000
2018-01-30,62.90158462524414,90.6855697631836,63.19088968590716,91.94764998275134,62.24407677201859,90.6768034597893,62.708714584802124,91.23772651587934,2710100,1821800
2018-01-31,63.14703369140625,91.1150131225586,63.6292086439027,91.55323462085104,62.72623254060362,90.6066745797243,63.20840080458637,90.73814236655791,4320700,2231100
2018-02-01,61.32356262207031,91.78111267089844,62.033675646186026,91.80740489120537,60.63099357465454,90.29115554845455,60.99919636433486,90.94848780304552,5971600,1754600
2018-02-02,60.096214294433594,89.02032470703125,61.314794855639015,91.92134920571017,60.03484716863602,88.96774026119397,61.069326352448726,91.43054321328188,4100000,1826600
2018-02-05,57.43987274169922,85.01498413085938,60.1926446101782,89.45855055971445,57.38727426326504,83.77043648344974,59.91210155582379,88.11759363247572,4634300,3056400
2018-02-06,58.448036193847656,86.27706909179688,58.8863745604225,86.59258917267942,55.984576714021046,81.6319175462611,56.36154797681593,83.1131086655858,5225300,3956900
