Price,Close,High,Low,Open,Volume
Ticker,BRO,BRO,BRO,BRO,BRO
Date,,,,,
2018-01-02,24.07554054260254,24.40547014916056,23.99541349673737,24.344198535360647,1385200
2018-01-03,24.34891128540039,24.424324024498766,24.12738557768199,24.216939441473613,637000
2018-01-04,24.414892196655273,24.650557182719478,24.410179688045698,24.471451289875958,1043800
2018-01-05,24.645845413208008,24.707117016875728,24.433746559793413,24.51858610115925,725000
2018-01-08,24.5704345703125,24.707118910338036,24.556293447013665,24.683552768815105,692200
2018-01-09,24.76839256286621,24.914505518530813,24.612854588883838,24.612854588883838,1013400
2018-01-10,24.612857818603516,24.829669227989783,24.579864856217846,24.79196195784525,814200
2018-01-11,24.60343360900879,24.725978654004983,24.532733368984427,24.608146119285575,749800
2018-01-12,24.70711898803711,24.749538762104326,24.561007831346643,24.70240647891024,542800
2018-01-16,24.683551788330078,24.89565064957411,24.641132016081272,24.777818148658678,595200
2018-01-17,24.78253746032715,24.890943167303817,24.707122918449496,24.74011767951179,903800
2018-01-18,24.67884063720703,24.843805428372303,24.56572063899272,24.782533819071702,1613200
2018-01-19,24.744827270507812,24.881513414565205,24.579862474563665,24.77782022969664,1450600
2018-01-22,24.626995086669922,24.895653071049622,24.51387508367673,24.749540108429553,3395400
2018-01-23,24.532732009887695,25.319854233157837,24.391333335654153,25.23501466902137,5738200
2018-01-24,24.92864418029785,25.164309187557965,24.556293037311356,24.617566442633752,3297000
2018-01-25,24.966350555419922,25.093609870566343,24.79195716171117,24.909789661145123,2152000
2018-01-26,25.343421936035156,25.343421936035156,24.942790236784187,24.99463684005046,927200
2018-01-29,25.051191329956055,25.333988623302712,25.03233769760459,25.272715217151113,928600
2018-01-30,24.919221878051758,25.230299672063666,24.87208958725484,24.97106847671735,1021000
2018-01-31,24.735395431518555,24.900361991948706,24.664697018175115,24.872081547822695,1765800
2018-02-01,25.141904830932617,25.18917401862318,24.69285926825069,24.730672815268,1235000
2018-02-02,25.042644500732422,25.274259033473662,24.981195452758573,25.05682435675127,1072800
2018-02-05,24.3336181640625,25.113542551356186,24.324164327491886,24.839386700213208,1757600
2018-02-06,24.41870880126953,24.475430035934888,23.780589952661508,23.998022854825,2187400
2018-02-07,24.470699310302734,24.655044639854633,24.177637550582666,24.39034259044397,1426200
2018-02-08,23.68604850769043,24.6408644774644,23.68132068727435,24.465971184772837,1504000
2018-02-09,23.86566734313965,23.98383760729968,23.359896953650384,23.898754872853647,1880200
2018-02-12,24.1634578704834,24.380892551755657,23.903483620264442,23.998020203017337,2374600
2018-02-13,24.371437072753906,24.470699666552296,24.002744605147413,24.054739812318534,1611200
2018-02-14,24.787385940551758,24.79211375934404,24.20126262972733,24.257983833292858,1042400
2018-02-15,24.881929397583008,25.08045636994263,24.78266681297072,24.919744745893432,1179200
2018-02-16,24.910297393798828,25.019013843791246,24.78739928293051,24.78739928293051,897600
2018-02-20,24.867748260498047,25.08990891252192,24.75903184441731,24.87247427722549,779600
2018-02-21,24.81575584411621,25.21753402700498,24.811029826858707,24.863023229231892,790200
2018-02-22,24.697587966918945,24.985923732163574,24.621959061538004,24.886661131938965,896000
2018-02-23,24.995372772216797,25.019006462523365,24.673949535269504,24.740124589381892,459200
2018-02-26,25.23171615600586,25.236442173351577,24.919746720267938,25.08518437439593,570400
2018-02-27,25.160816192626953,25.434972111996718,25.08518728437588,25.212811405137455,1236200
2018-02-28,24.881929397583008,25.463326854342895,24.867749543534124,25.22226031983662,1224000
2018-03-01,24.55105209350586,24.99064559645227,24.399794307882903,24.933924377627424,1036400
2018-03-02,24.707040786743164,24.76376201265626,24.26744722886232,24.442338727256608,728800
2018-03-05,24.976463317871094,25.061546039416246,24.418699611357248,24.59831889052311,1128800
2018-03-06,25.05682373046875,25.08518524493287,24.735402248885034,25.02846401913989,1893000
2018-03-07,24.83938980102539,25.004829256961273,24.773214739905107,24.89611102439489,2333800
2018-03-08,24.84884262084961,24.948105208463762,24.664497300099008,24.92447151662255,1773600
2018-03-09,25.349884033203125,25.382971560907997,24.91974436990477,24.91974436990477,1480000
2018-03-12,25.208080291748047,25.439692987577633,25.104089887747392,25.31206889261366,854800
2018-03-13,24.957557678222656,25.269527081582876,24.881928786593967,25.269527081582876,1038600
2018-03-14,24.83466148376465,25.047368305620346,24.73067108127186,25.009552958119325,988400
2018-03-15,24.83466148376465,24.971739413753323,24.754304771892492,24.85356915751516,1243600
2018-03-16,24.933927536010742,25.02373629412076,24.730674522745996,24.881932327528794,2349400
2018-03-19,24.872482299804688,25.047375628425876,24.7401321511275,24.905569836973985,859200
2018-03-20,24.985923767089844,25.12772773948541,24.905567040746643,24.905567040746643,1490400
2018-03-21,24.84884262084961,24.995374395281292,24.702310846417927,24.929199336871857,1306600
2018-03-22,24.073646545410156,24.83938935822087,24.064192707827907,24.697585400757426,1169200
2018-03-23,23.605693817138672,24.224906715983256,23.586787943255388,24.078374923792005,1511200
2018-03-26,24.12564468383789,24.18236591309263,23.67187124352921,23.88457630401834,849200
2018-03-27,23.89875602722168,24.309988061484265,23.80421945070028,24.257992854240733,982600
2018-03-28,24.11618995666504,24.338350650836812,23.68605022746425,23.842034052952187,1426600
2018-03-29,24.050018310546875,24.24854353541879,23.785316207582095,24.002749111909115,1504000
