Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,CFG,CTAS,CFG,CTAS,CFG,CTAS,CFG,CTAS,CFG,CTAS
Date,,,,,,,,,,
2018-01-02,31.161685943603516,36.45610809326172,31.161685943603516,36.61415645492099,30.67980431706125,36.24459906820482,30.920743737731666,36.55140028941608,5073100,1912400
2018-01-03,31.519445419311523,36.82101821899414,31.607062287078286,36.87912486374319,30.98645534047033,36.30735746547947,31.081372221283587,36.30735746547947,6281200,2119200
2018-01-04,31.891807556152344,37.4601936340332,32.366389136502725,37.48808369034673,31.68007098736825,36.82102050216032,31.818796290806702,36.88377667541411,6740100,2271200
2018-01-05,32.0378303527832,37.56944274902344,32.30067534368094,37.599659347763605,31.86990222753209,37.343988619691,32.04513036466324,37.495068066842684,7315600,2351200
2018-01-08,32.16926574707031,37.62986373901367,32.32259112483886,37.78791566541269,31.85531219152398,37.148742538893295,31.979431939659808,37.509004464968434,4725700,2608800
2018-01-09,32.26416778564453,37.47181701660156,32.74604935335595,37.70424361834376,32.13274528670495,37.455545452136334,32.24956497629557,37.6531094822366,5434900,1796800
2018-01-10,32.782554626464844,37.26496505737305,33.19142210823332,37.49506871662605,32.329875935648566,37.139452680853516,32.37368435949555,37.416040960593705,2914700,1612400
2018-01-11,33.07460403442383,37.66474533081055,33.078255432888426,37.70890696878048,32.58542247780416,37.15340732881349,32.89937590093656,37.25799862863451,3292500,2119600
2018-01-12,33.2352409362793,37.2951774597168,33.43237472750163,37.71121955410028,33.067312770097686,37.202204682655676,33.30095220002007,37.608951272607456,2267300,1796400
2018-01-16,33.03810119628906,37.47181701660156,33.53458559177867,37.67867655029018,32.81541321955323,37.37652125871562,33.43236870774279,37.44624994854798,2981700,3043600
2018-01-17,33.468875885009766,37.80884552001953,33.59299559701174,37.8971687884331,32.731452055277195,37.49739463720781,33.235236486369665,37.49739463720781,3730300,3109200
2018-01-18,33.410465240478516,37.606624603271484,33.67696166395834,37.87856329978663,33.01620048897059,37.188256013806466,33.54919055072885,37.39511554602133,6065000,2312800
2018-01-19,34.18439483642578,38.13190841674805,34.54945672300461,38.157475485272556,33.32284856128364,37.483439746424175,33.68791044786248,37.639165146874014,7826200,1789600
2018-01-22,34.90721130371094,38.382930755615234,34.95101693841876,38.39687578495713,34.32311017906792,37.93667208393114,34.49104106278316,38.11796455847316,4196100,1896000
2018-01-23,34.95103454589844,38.3271484375,35.14816835699658,38.41547168849825,34.53486409531413,37.99245708189624,34.81961200516634,38.324825448044336,3885900,1676400
2018-01-24,34.59326171875,38.345741271972656,35.213865750259764,38.53865578459907,34.403427996857,38.26671707544096,35.09704606955672,38.42941499375582,7287100,1580000
2018-01-25,34.07487487792969,38.71762466430664,34.78455526876624,38.94540174639578,33.8339354830611,38.53633219436141,34.753890204233855,38.561899263022845,5613200,1984400
2018-01-26,34.27931594848633,38.99422073364258,34.32677299694145,39.00119324953846,33.88504839374657,38.587474089152714,34.16979625488034,38.77573911144014,3979400,1489600
2018-01-29,34.13330078125,38.58281707763672,34.439951558323465,38.950051545286804,34.06758950256249,38.48287533815243,34.19171204461771,38.8989174076046,4266900,1934000
2018-01-30,33.709815979003906,38.54098129272461,34.279314461773474,38.81059345879292,33.69886456715857,38.37595684291042,33.88504692413332,38.61303297273203,3727500,1748000
2018-01-31,33.673133850097656,39.152259826660156,34.25269108829169,39.503226260353294,33.58509750121523,38.64324500825501,33.783175088396526,38.65254405826656,4150500,4130000
2018-02-01,34.34073257446289,38.39223098754883,34.37007522994385,39.12437703709811,33.57042979845488,38.117969252587194,33.680473851752176,39.01745922139583,6742900,2428000
2018-02-02,33.76118087768555,37.61127853393555,34.52414608135394,38.3434209913481,33.57410705980189,37.57641241190945,34.2233620989416,38.20629013240588,6066600,1786800
2018-02-05,32.04450225830078,36.36547088623047,33.926235401887205,37.973862686991176,31.96380365980724,36.35849482473644,33.07157075061339,37.72516449878202,5846100,3058800
2018-02-06,32.719425201416016,36.339908599853516,33.07156498775996,36.56303620057188,30.430533381396437,35.31025668329186,31.178825529939303,35.89132331554696,8299800,4228400
2018-02-07,32.895503997802734,36.398014068603516,33.29899423062936,37.0627544159505,32.059178075589095,36.14002035048688,32.52135922153649,36.19347748586625,6545800,2656400
2018-02-08,30.95140266418457,34.7059440612793,33.02754698901281,36.442167622866826,30.93672993979819,34.68967249578881,32.932175679769365,36.349198394931435,4709300,2877600
2018-02-09,31.582313537597656,35.498512268066406,31.89777009276603,35.81461257384568,30.437869103531767,34.255032133526434,31.50161495857284,35.05225363871007,6874600,3965200
2018-02-12,32.24991989135742,35.88667297363281,32.6607479123722,36.17488329343711,31.65568975211999,35.42879219410099,31.91979048148277,35.66354537798687,4381000,1936800
2018-02-13,32.56537628173828,36.27482604980469,32.58738397602141,36.39801188067137,31.831756621240327,35.55895159980553,31.934462925944135,35.71467701719268,3437700,1103600
2018-02-14,33.63644790649414,38.201637268066406,33.665793353737875,38.22952732601063,32.2865881171771,35.9238558101755,32.2865881171771,36.0005570160707,6307600,5011200
2018-02-15,33.76118087768555,38.80130386352539,34.21602433433749,38.83616644091877,33.4530591306691,37.94597198380073,33.98860400528013,38.4038527484955,3042700,2596400
2018-02-16,33.695152282714844,38.8431282043457,34.15733346685091,39.01744813615776,33.54842778632627,38.65718978098465,33.54842778632627,38.89658887028269,2791500,2350800
2018-02-20,33.81251907348633,38.73389434814453,34.194001506511846,39.17318051290835,33.519070186994085,38.466605156912365,33.66579463024021,38.66416920020482,4780700,2172400
